dataset,config,config_label,seed,n_rows,n_features,outlier_rate,n_outliers,auc_roc,ap,f1,precision,recall,threshold,train_time_sec
11_donors,C_latent_diff_uncond,Latent Diff (Uncond.),888,619326,10,0.05927411411760527,36710,0.6834964271247717,0.11160717920615541,0.133587578316535,0.133587578316535,0.133587578316535,1.268103425637122,1822.4196527004242
11_donors,E_caldm_d,CALDM-D (proposed),69,619326,10,0.05927411411760527,36710,0.7517024631895673,0.13032459671306004,0.15393625715064016,0.15393625715064016,0.15393625715064016,0.7688410988737513,5167.301950931549
11_donors,E_caldm_d,CALDM-D (proposed),72,619326,10,0.05927411411760527,36710,0.7336454579988367,0.12394090667590618,0.15494415690547536,0.15494415690547536,0.15494415690547536,0.7727916665848953,5163.541992425919
11_donors,E_caldm_d,CALDM-D (proposed),888,619326,10,0.05927411411760527,36710,0.7050767782398694,0.11234450625335096,0.14165077635521656,0.14165077635521656,0.14165077635521656,0.6868989746891484,5170.49632692337
11_donors,F_caldm_j,CALDM-J (jointly cond.),69,619326,10,0.05927411411760527,36710,0.8064912622827729,0.1401102566974572,0.11936801961318441,0.11936801961318441,0.11936801961318441,0.014747900393361576,2235.2496263980865
11_donors,F_caldm_j,CALDM-J (jointly cond.),72,619326,10,0.05927411411760527,36710,0.7696117249905485,0.12923417305259996,0.08662489784799782,0.08662489784799782,0.08662489784799782,0.01759991084315308,2199.04150056839
11_donors,F_caldm_j,CALDM-J (jointly cond.),888,619326,10,0.05927411411760527,36710,0.7489274668399604,0.11122543905493583,0.07210569327158813,0.07210569327158813,0.07210569327158813,0.011784828764821427,2254.413748025894
14_glass,C_latent_diff_uncond,Latent Diff (Uncond.),69,214,7,0.04205607476635514,9,0.6482384823848238,0.10192101208082785,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.563844543751158,4.563506841659546
14_glass,C_latent_diff_uncond,Latent Diff (Uncond.),72,214,7,0.04205607476635514,9,0.678590785907859,0.09428357145194984,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.6441745501812408,4.814396381378174
14_glass,C_latent_diff_uncond,Latent Diff (Uncond.),888,214,7,0.04205607476635514,9,0.6471544715447155,0.10231719925756894,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.6778701543807986,4.765678644180298
14_glass,E_caldm_d,CALDM-D (proposed),69,214,7,0.04205607476635514,9,0.7333333333333333,0.10807392809835409,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.5543375277073606,11.046865940093994
14_glass,E_caldm_d,CALDM-D (proposed),72,214,7,0.04205607476635514,9,0.6552845528455284,0.09047729850923487,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.6636879717078177,11.567495584487915
14_glass,E_caldm_d,CALDM-D (proposed),888,214,7,0.04205607476635514,9,0.7127371273712737,0.10438307432092628,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.6653853120090811,11.585096836090088
14_glass,F_caldm_j,CALDM-J (jointly cond.),69,214,7,0.04205607476635514,9,0.7696476964769647,0.13357332575669473,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.2417148028578762,5.663652181625366
14_glass,F_caldm_j,CALDM-J (jointly cond.),72,214,7,0.04205607476635514,9,0.5750677506775068,0.08884648497925614,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.3737142793486068,5.565694808959961
14_glass,F_caldm_j,CALDM-J (jointly cond.),888,214,7,0.04205607476635514,9,0.6872628726287262,0.09720094357568197,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.4440534761018844,5.655818939208984
17_InternetAds,C_latent_diff_uncond,Latent Diff (Uncond.),69,1966,1555,0.1871820956256358,368,0.6147222071067096,0.29563139219975104,0.3423913043478261,0.3423913043478261,0.3423913043478261,0.8725795061275408,8.52116346359253
17_InternetAds,C_latent_diff_uncond,Latent Diff (Uncond.),72,1966,1555,0.1871820956256358,368,0.6146720424987757,0.2955962933151044,0.3423913043478261,0.3423913043478261,0.3423913043478261,0.872817711876222,7.77523946762085
17_InternetAds,C_latent_diff_uncond,Latent Diff (Uncond.),888,1966,1555,0.1871820956256358,368,0.6146626897752626,0.29562361161499345,0.3423913043478261,0.3423913043478261,0.3423913043478261,0.8726674503251712,8.290795087814331
17_InternetAds,E_caldm_d,CALDM-D (proposed),69,1966,1555,0.1871820956256358,368,0.6145963704630788,0.2955655028679467,0.3423913043478261,0.3423913043478261,0.3423913043478261,0.8727989224669649,18.470855951309204
17_InternetAds,E_caldm_d,CALDM-D (proposed),72,1966,1555,0.1871820956256358,368,0.6146711922511835,0.29562084564481195,0.3423913043478261,0.3423913043478261,0.3423913043478261,0.8728195986694383,18.391727209091187
17_InternetAds,E_caldm_d,CALDM-D (proposed),888,1966,1555,0.1871820956256358,368,0.6147196563639332,0.2956621051004932,0.3423913043478261,0.3423913043478261,0.3423913043478261,0.872903234961074,18.466898679733276
