dataset,C_latent_diff_uncond_auc_roc_mean,E_caldm_d_auc_roc_mean,F_caldm_j_auc_roc_mean,C_latent_diff_uncond_auc_roc_std,E_caldm_d_auc_roc_std,F_caldm_j_auc_roc_std,C_latent_diff_uncond_ap_mean,E_caldm_d_ap_mean,F_caldm_j_ap_mean,C_latent_diff_uncond_ap_std,E_caldm_d_ap_std,F_caldm_j_ap_std,C_latent_diff_uncond_f1_mean,E_caldm_d_f1_mean,F_caldm_j_f1_mean,C_latent_diff_uncond_f1_std,E_caldm_d_f1_std,F_caldm_j_f1_std,C_latent_diff_uncond_precision_mean,E_caldm_d_precision_mean,F_caldm_j_precision_mean,C_latent_diff_uncond_precision_std,E_caldm_d_precision_std,F_caldm_j_precision_std,C_latent_diff_uncond_recall_mean,E_caldm_d_recall_mean,F_caldm_j_recall_mean,C_latent_diff_uncond_recall_std,E_caldm_d_recall_std,F_caldm_j_recall_std,n_rows,n_features,outlier_rate
26_optdigits,0.517644865552485,0.5556454796683775,0.4203969820590428,0.03750558841044855,0.054421680502551896,0.022552299458315814,0.027001582019477364,0.02953238154758876,0.02282015912934141,0.00198729744780151,0.003357478214523481,0.0009417387054607076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5216,64,0.028757668711656442
27_PageBlocks,0.8825906606754929,0.9253260277419727,0.9116984496030646,0.004745417262139701,0.00469108694002849,0.006853046631354344,0.4637354399898606,0.5602238737195687,0.5304401628844168,0.008224721410140362,0.01317311016141431,0.0542535551795488,0.4032679738562092,0.5071895424836601,0.4823529411764706,0.014716771567578685,0.012606079426134616,0.06116264298228319,0.4032679738562092,0.5071895424836601,0.4823529411764706,0.014716771567578685,0.012606079426134616,0.06116264298228319,0.4032679738562092,0.5071895424836601,0.4823529411764706,0.014716771567578685,0.012606079426134616,0.06116264298228319,5393,10,0.09456703133691823
28_pendigits,0.9456853137594873,0.9191878686963584,0.7632819799933294,0.0160763704527392,0.01677058841825904,0.0193142901968279,0.27270373428852795,0.21278177905857754,0.05317905728861438,0.011262904493142278,0.02857431744835392,0.00918591851026295,0.35042735042735035,0.33547008547008544,0.02777777777777778,0.016132124861689613,0.026688025634181142,0.014803853056144248,0.35042735042735046,0.33547008547008544,0.02777777777777778,0.016132124861689644,0.026688025634181173,0.014803853056144248,0.35042735042735046,0.33547008547008544,0.02777777777777778,0.016132124861689644,0.026688025634181173,0.014803853056144248,6870,16,0.022707423580786028
30_satellite,0.6186435700916131,0.6660676884801318,0.6568375105492957,0.05970768820892308,0.007395196295724225,0.017022114605556936,0.6077143581950936,0.6540666500497888,0.5098282220236996,0.06756527778652453,0.012151458390530829,0.026437805621194473,0.4947609692206942,0.5456777996070726,0.4611984282907662,0.06776097605296293,0.011550074672205153,0.012396296133717066,0.4947609692206942,0.5456777996070726,0.4611984282907662,0.06776097605296293,0.011550074672205153,0.012396296133717066,0.4947609692206942,0.5456777996070726,0.4611984282907662,0.06776097605296293,0.011550074672205153,0.012396296133717066,6435,36,0.3163947163947164
31_satimage-2,0.9761416837849616,0.9966435037299863,0.9003641528164099,0.001924392549072636,0.00024984734410310504,0.011849977249606191,0.8533593506717989,0.9590026956662862,0.2763231000044395,0.017557226937920428,0.002015164709148629,0.014366567691695677,0.7981220657276995,0.9061032863849765,0.28638497652582157,0.016263387864496527,0.008131693932248255,0.008131693932248244,0.7981220657276995,0.9061032863849765,0.28638497652582157,0.016263387864496527,0.008131693932248255,0.008131693932248244,0.7981220657276995,0.9061032863849765,0.28638497652582157,0.016263387864496527,0.008131693932248255,0.008131693932248244,5803,36,0.0122350508357746
32_shuttle,0.9906561971567744,0.9926392627576588,0.8866025244416864,0.00013087456432973874,0.0005967954101016351,0.07276083310155963,0.9169289969236187,0.9208770659189754,0.4301253342067722,0.0006510093548196716,0.0014989309446350966,0.20248823216888578,0.9490173739675306,0.9570872495965063,0.4573245988797114,0.0002848191398462374,0.0011510828494238716,0.20862575894765098,0.9490173739675306,0.9570872495965063,0.4573245988797114,0.0002848191398462374,0.0011510828494238716,0.20862575894765098,0.9490173739675306,0.9570872495965063,0.4573245988797114,0.0002848191398462374,0.0011510828494238716,0.20862575894765098,49097,9,0.0715114976475141
34_smtp,0.8621816211013696,0.8792905082615573,0.83316595299334,0.0008558763539944608,0.014505513174576276,0.016092600342188953,0.33039998368854134,0.33692734272205954,0.3239506605361338,0.0032383949748864146,0.004427726332186836,0.033075731936343375,0.5666666666666667,0.6151183970856102,0.5666666666666667,0.0,0.04504911315968899,0.08819171036881969,0.5666666666666667,0.6082437275985663,0.5666666666666667,0.0,0.039454209894292096,0.08819171036881969,0.5666666666666667,0.6222222222222222,0.5666666666666667,0.0,0.05091750772173151,0.08819171036881969,95156,3,0.0003152717642607928
35_SpamBase,0.5484662312181,0.5474791134214408,0.5389455843215898,0.0037405424227176403,0.0006735222380662848,0.0028040513508383463,0.4085274925269289,0.4083530810031862,0.40544186990966996,0.002117288385613514,0.0002639779948295367,0.002434211075104536,0.43418701608100063,0.4343855469525511,0.41711336112765535,0.0027293482399975417,0.0012398248954533012,0.002685675850400747,0.43418701608100063,0.4343855469525511,0.41711336112765535,0.0027293482399975417,0.0012398248954533012,0.002685675850400747,0.43418701608100063,0.4343855469525511,0.41711336112765535,0.0027293482399975417,0.0012398248954533012,0.002685675850400747,4207,57,0.39909674352270025
36_speech,0.4692745430563407,0.469184096476352,0.48614885999623136,0.00016655028172445042,0.000245305954340691,0.0015541050117704467,0.01843657391094598,0.018426191480611063,0.019323275942903784,1.1484291100486763e-05,6.045041118148829e-06,0.0006404365025003808,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.0,0.0,0.016393442622950814,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.0,0.0,0.01639344262295082,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.0,0.0,0.01639344262295082,3686,400,0.016549104720564298
38_thyroid,0.9405723270991708,0.9561747825739619,0.912505443566654,0.004083467104986774,0.001578296953696685,0.019449708517935017,0.31373071551049597,0.3730736823128365,0.3323922685485598,0.01208763907896467,0.005855320716711107,0.062261723408819546,0.3118279569892473,0.3584229390681004,0.32974910394265233,0.0,0.006208067410641072,0.07319203532853813,0.3118279569892473,0.35842293906810035,0.32974910394265233,0.0,0.006208067410641128,0.07319203532853812,0.3118279569892473,0.35842293906810035,0.32974910394265233,0.0,0.006208067410641128,0.07319203532853812,3772,6,0.024655355249204668
3_backdoor,0.885476017673375,0.8850749510227134,0.8964933355494304,0.0011837491743487169,0.0003611579814525301,0.010226064076237553,0.5057965198698386,0.5055627711328811,0.5083268732365496,0.0002605082462064395,0.00020696152686987358,0.010432592652021316,0.46443394876198657,0.4640045799341634,0.5045083726921425,0.0015078937674041575,0.0009915848333011822,0.010151644841165174,0.46443394876198657,0.46400457993416344,0.5045083726921425,0.0015078937674041653,0.0009915848333012021,0.010151644841165174,0.46443394876198657,0.46400457993416344,0.5045083726921425,0.0015078937674041653,0.0009915848333012021,0.010151644841165174,95329,196,0.02443118043827167
40_vowels,0.6238786154575628,0.7861972498814604,0.8847321005215742,0.004788152068823563,0.004464540344328568,0.011719764836093027,0.05048925761439038,0.1532857747030691,0.3147312973666827,0.0017234639241135437,0.026223480272386995,0.034808516009316115,0.06,0.17333333333333334,0.32666666666666666,0.019999999999999997,0.02309401076758505,0.011547005383792533,0.06,0.17333333333333334,0.32666666666666666,0.019999999999999997,0.02309401076758504,0.011547005383792533,0.06,0.17333333333333334,0.32666666666666666,0.019999999999999997,0.02309401076758504,0.011547005383792533,1456,12,0.034340659340659344
41_Waveform,0.6472928507328747,0.7784684415195932,0.5206491175590786,0.04409134377981161,0.009466888181579538,0.013907463021627755,0.04170450547382607,0.10901560716932635,0.033150158609928544,0.00392485959596017,0.012192642614476125,0.0016021535031368556,0.02666666666666667,0.16666666666666666,0.04000000000000001,0.015275252316519466,0.011547005383792512,0.017320508075688777,0.02666666666666667,0.16666666666666666,0.04,0.015275252316519466,0.011547005383792512,0.017320508075688773,0.02666666666666667,0.16666666666666666,0.04,0.015275252316519466,0.011547005383792512,0.017320508075688773,3443,21,0.02904443799012489
5_campaign,0.7483421492865939,0.7317475241581217,0.8103325346670541,0.0026624121765850967,0.004126928589049559,0.005623667894087623,0.2967244477890533,0.2746007098646605,0.33810792975980447,0.0018528473825018493,0.0035065640775114766,0.006364478136618427,0.37018678160919544,0.3631465517241379,0.3945402298850575,0.0009718210674186891,0.0028994879411796417,0.007229738865177671,0.37018678160919544,0.3631465517241379,0.3945402298850575,0.0009718210674186968,0.0028994879411796855,0.007229738865177671,0.37018678160919544,0.3631465517241379,0.3945402298850575,0.0009718210674186968,0.0028994879411796855,0.007229738865177671,41188,62,0.11265417111780131
6_cardio,0.9376682230156551,0.9198766364551862,0.8512931429094571,0.0015464608116499616,0.012792897723104057,0.04667385774453917,0.5987014031879835,0.5272428111381181,0.3926869234713734,0.00905401670701954,0.030335539734300712,0.04273014686766498,0.5890151515151515,0.5170454545454546,0.37878787878787884,0.014298928854679522,0.024766471270117427,0.041881334067227244,0.5890151515151515,0.5170454545454546,0.37878787878787884,0.014298928854679522,0.024766471270117427,0.041881334067227244,0.5890151515151515,0.5170454545454546,0.37878787878787884,0.014298928854679522,0.024766471270117427,0.041881334067227244,1831,21,0.0961223375204806
7_Cardiotocography,0.6910865209661514,0.6535211536591802,0.5370983339583594,0.05821959147008316,0.01081844060485155,0.024672020510026704,0.44743858502204,0.40469848644854417,0.3120938343111422,0.03707140572869296,0.00872409176567981,0.015305773406393934,0.4341917024320458,0.38841201716738194,0.32689556509298995,0.027592706040037055,0.003716847226542662,0.02363764183384591,0.4341917024320458,0.38841201716738194,0.32689556509298995,0.027592706040037055,0.003716847226542662,0.02363764183384591,0.4341917024320458,0.38841201716738194,0.32689556509298995,0.027592706040037055,0.003716847226542662,0.02363764183384591,2114,21,0.22043519394512773
8_celeba,0.8185066523823575,0.7717326898882587,0.6883871968467338,0.041045853627527856,0.0016878941644465088,0.013048820693296756,0.11780634970923569,0.10320627923185317,0.043270027371982656,0.0075443587057648104,0.002693594206904776,0.002526724437623132,0.16984937600600072,0.16391181405505562,0.05937763458390063,0.0007137672084620277,0.006171609789393103,0.008137234213724335,0.16984317094134638,0.16390602803372858,0.05937545878200884,0.0007206682703078724,0.00618008196440434,0.008137236832136427,0.16985558243530532,0.1639176013488747,0.05937981086430614,0.0007069606891718364,0.006163140402311772,0.008137233340664178,202599,39,0.022443348683853327
