config,label,auc_type_HRS_mean,auc_type_HRS_std,auc_type_INA_mean,auc_type_INA_std,auc_type_LRS_mean,auc_type_LRS_std,auc_type_PER_mean,auc_type_PER_std,auc_type_PVO_mean,auc_type_PVO_std
A_vae_only,VAE only,0.5825043436679439,0.022339468847088033,0.6503152745712473,0.037748513290126275,0.71197781797728,0.01982442595263749,0.5328943871248429,0.01570099857156284,0.6308656586489162,0.021602724892093864
B_ddpm_data,Data-space DDPM,0.5017464143769464,0.014285765595246552,0.5159183087814554,0.010539385385422468,0.5071500413893482,0.00600929628742047,0.5077184126889471,0.035799543102623024,0.5121896385577289,0.026642547473115466
C_vae_diff_nocxt,Latent Diffusion (unconditional),0.6940029986275636,0.014193064868349505,0.982709498402391,1.560602936230233e-06,0.6230410610494738,0.01680736671392016,0.5493233059565042,0.0053421568969003585,0.8380791637054322,0.004278952152747377
D_cxt_in_vae,Context in VAE only,0.6393058928116113,0.026626170905431155,0.8763243165539386,0.05381774906966692,0.6236232539216129,0.07544024444655723,0.5959065885534139,0.048088153074961344,0.7500892631510301,0.023569117536243217
E_cxt_in_diff,CALDM (proposed),0.6143999817296686,0.03643564719919858,0.9772867891120158,0.003283883938883377,0.7617053745383994,0.04925644949699496,0.5317634057172975,0.013472073702114382,0.7955075203618055,0.014361410394048098
F_full_caldm,CALDM + VAE context,0.6409831167663091,0.02471985647503858,0.8734843984259808,0.056166601994350855,0.6230972201327869,0.07660332976866875,0.5963442523246579,0.04704953518316295,0.7520660707885073,0.022121335929371547
