accuracy,precision,recall,f1,auc_roc,ap,threshold,auc_type_HRS,auc_type_INA,auc_type_LRS,auc_type_PER,auc_type_PVO,config,label,seed,train_time_sec
0.8710366492146597,0.1250707413695529,0.1259977194982896,0.12553251917069014,0.6414048430738846,0.11331255867260231,0.5444460616111755,0.5765370409825905,0.6726211788501935,0.7041724316557,0.5465337163973387,0.6179495141352466,A_vae_only,VAE only,7,61.179364919662476
0.8669319371727748,0.09734012450481042,0.09806157354618016,0.09769951718261857,0.6359573759271657,0.10239007711293295,0.5309306662082671,0.5997118851420195,0.603156626220043,0.7114544372567866,0.518575943208549,0.6307721836901512,A_vae_only,VAE only,42,52.526028633117676
0.8700314136125654,0.11827956989247312,0.11915621436716077,0.11871627378585628,0.6494126169445267,0.11348476324138468,0.5197137336730954,0.5713976173946338,0.6722471299245941,0.7199817545971079,0.5530767112281549,0.6511640028526661,A_vae_only,VAE only,888,54.78120517730713
0.8711204188481675,0.12563667232597622,0.1265678449258837,0.1261005396194263,0.6551503658457317,0.11609361535361731,0.554186630010604,0.5504987170825063,0.6960362415403936,0.7424694730398604,0.5341891357687458,0.6566148972504182,A_vae_only,VAE only,1337,52.62551522254944
0.8654240837696335,0.08715336728919072,0.08779931584948689,0.08747514910536779,0.6265538759379647,0.10041945505255565,0.5389360535144799,0.6143764577379695,0.6075151963210121,0.6818109933369448,0.5120964290214266,0.5978276953160993,A_vae_only,VAE only,2024,53.85458040237427
0.8638324607329843,0.07640067911714771,0.07696693272519954,0.07668276057938085,0.51910906001237,0.07758373967335716,0.37733871436119076,0.5142435279183166,0.5264840641155863,0.508713365609861,0.5359962501534917,0.5398766792576251,B_ddpm_data,Data-space DDPM,7,28.36068892478943
0.8635811518324608,0.07470288624787776,0.07525655644241733,0.07497869923317238,0.508354962498422,0.07649209169556273,0.3858814548254013,0.5104755539862452,0.5167358557165944,0.496356218147432,0.4928058476573559,0.5392321862147657,B_ddpm_data,Data-space DDPM,42,30.144468069076538
0.864,0.07753254102999434,0.07810718358038768,0.07781880147685317,0.5060965998297845,0.07548999100602677,0.3825654168128967,0.5123696911364739,0.5247913093699323,0.5091749846781599,0.4674036512912059,0.4745284442767955,B_ddpm_data,Data-space DDPM,888,30.143320083618164
0.8646701570680628,0.08205998868138087,0.08266818700114024,0.0823629650667424,0.5035408678205394,0.07602914116955287,0.3813192501068115,0.49498651388258547,0.4968682570346868,0.5147244180850331,0.4799766660543029,0.5192635240405292,B_ddpm_data,Data-space DDPM,1337,30.912704467773438
0.8625759162303664,0.06791171477079797,0.06841505131128849,0.06816245384833855,0.5025702808905741,0.07347112732006736,0.38620867729187003,0.4766567849611112,0.5147120576704766,0.5067812204262547,0.5624096482883791,0.48804735899892865,B_ddpm_data,Data-space DDPM,2024,28.107938766479492
0.8939057591623036,0.27956989247311825,0.28164196123147095,0.28060210167566035,0.7296999935618944,0.298843962413769,1.656364612102501,0.6885401882915558,0.9827114719938701,0.631274451026063,0.5488510805014715,0.8366194079606377,C_vae_diff_nocxt,Latent Diffusion (unconditional),7,104.18528127670288
0.8939057591623036,0.27956989247311825,0.28164196123147095,0.28060210167566035,0.7289082328730285,0.2974375479224316,1.6875871610641464,0.7083356789970415,0.9827096050830116,0.6092372724975378,0.5595472483545528,0.8422192595469083,C_vae_diff_nocxt,Latent Diffusion (unconditional),42,101.97041535377502
0.8939057591623036,0.27956989247311825,0.28164196123147095,0.28060210167566035,0.7292273031136873,0.29939966093930676,1.640585127353662,0.6776379036448654,0.9827098717845627,0.6406671281128162,0.5442896115209033,0.8329531590163688,C_vae_diff_nocxt,Latent Diffusion (unconditional),888,101.00703430175781
0.8939057591623036,0.27956989247311825,0.28164196123147095,0.28060210167566035,0.7294369281381139,0.2991345364447453,1.6475806903839103,0.6823226835658462,0.9827066713659481,0.6366442835640935,0.5461060235756852,0.8346646845232494,C_vae_diff_nocxt,Latent Diffusion (unconditional),1337,100.31956052780151
0.8939057591623036,0.27956989247311825,0.28164196123147095,0.28060210167566035,0.7253503548457981,0.2963782786808685,1.7010118608474722,0.7131785386385088,0.9827098717845628,0.5973821700468585,0.5478225658299084,0.8439393074799977,C_vae_diff_nocxt,Latent Diffusion (unconditional),2024,101.57426500320435
