config,label,n_datasets,auc_roc_mean,auc_roc_std,ap_mean,ap_std,wins_auc_roc,wins_ap,p_auc_vs_proposed,p_ap_vs_proposed
C_latent_diff_uncond,Latent Diff (Uncond.),28,0.7578379847827422,0.17726987329123342,0.34225745845728833,0.28277427263084315,7,9,0.9732101711088682,0.9451298419298672
E_caldm_d,CALDM-D (proposed),28,0.7577951316419066,0.17914599881169865,0.3423845861785098,0.28404988387147506,9,8,,
F_caldm_j,CALDM-J (jointly cond.),28,0.7314512771747944,0.14894387001770912,0.2955857933274121,0.2411850637287743,12,11,0.2151816564425509,0.1166575562030846
