dataset,config,config_label,seed,n_rows,n_features,outlier_rate,n_outliers,auc_roc,ap,f1,precision,recall,threshold,train_time_sec
17_InternetAds,E_caldm_d,CALDM-D (proposed),42,1966,1555,0.1871820956256358,368,0.6147001006693149,0.2956141825837889,0.3423913043478261,0.3423913043478261,0.3423913043478261,0.8728591249166161,2.0249266624450684
17_InternetAds,F_caldm_j,CALDM-J (jointly cond.),42,1966,1555,0.1871820956256358,368,0.6099149072209827,0.2884103837136227,0.33967391304347827,0.33967391304347827,0.33967391304347827,0.8581712749215371,2.3571836948394775
18_Ionosphere,C_latent_diff_uncond,Latent Diff (Uncond.),42,351,32,0.358974358974359,126,0.7833509700176368,0.7306536438732226,0.5873015873015873,0.5873015873015873,0.5873015873015873,0.7325286238621442,1.2044777870178223
18_Ionosphere,E_caldm_d,CALDM-D (proposed),42,351,32,0.358974358974359,126,0.7831393298059964,0.7274216557688169,0.5873015873015873,0.5873015873015873,0.5873015873015873,0.7367588327481196,1.5106627941131592
18_Ionosphere,F_caldm_j,CALDM-J (jointly cond.),42,351,32,0.358974358974359,126,0.8049029982363315,0.7642531238421351,0.626984126984127,0.626984126984127,0.626984126984127,0.6340579696190661,1.6001474857330322
19_landsat,C_latent_diff_uncond,Latent Diff (Uncond.),42,6435,36,0.20714840714840715,1333,0.3688918603621897,0.1646236385116388,0.2010502625656414,0.2010502625656414,0.2010502625656414,0.8244236138965515,3.5474143028259277
19_landsat,E_caldm_d,CALDM-D (proposed),42,6435,36,0.20714840714840715,1333,0.35454933902036856,0.1573690285439428,0.16579144786196548,0.16579144786196548,0.16579144786196548,0.8384946889440126,4.359136343002319
19_landsat,F_caldm_j,CALDM-J (jointly cond.),42,6435,36,0.20714840714840715,1333,0.5652016198875277,0.22648649470908172,0.23030757689422354,0.23030757689422354,0.23030757689422354,0.1469083502437129,5.25618839263916
20_letter,C_latent_diff_uncond,Latent Diff (Uncond.),42,1600,32,0.0625,100,0.5303533333333335,0.07634831976971729,0.07,0.07,0.07,0.9760027043521404,1.3972089290618896
20_letter,E_caldm_d,CALDM-D (proposed),42,1600,32,0.0625,100,0.5226,0.07667909991106982,0.08,0.08,0.08,0.9485883861780167,1.654376745223999
20_letter,F_caldm_j,CALDM-J (jointly cond.),42,1600,32,0.0625,100,0.6788666666666666,0.13085144784528135,0.19,0.19,0.19,0.7390467673540115,1.9290251731872559
23_mammography,C_latent_diff_uncond,Latent Diff (Uncond.),42,11183,6,0.023249575248144506,260,0.8673075162501145,0.19641391518556908,0.25769230769230766,0.25769230769230766,0.25769230769230766,1.8201429880785727,5.543119668960571
23_mammography,E_caldm_d,CALDM-D (proposed),42,11183,6,0.023249575248144506,260,0.8730730498102098,0.19764969946021269,0.2692307692307692,0.2692307692307692,0.2692307692307692,1.792471231836907,6.974139451980591
23_mammography,F_caldm_j,CALDM-J (jointly cond.),42,11183,6,0.023249575248144506,260,0.7654536299551407,0.1039425595381231,0.21153846153846154,0.21153846153846154,0.21153846153846154,0.5917577432315463,8.744259595870972
24_mnist,C_latent_diff_uncond,Latent Diff (Uncond.),42,7603,100,0.09206892016309351,700,0.8500712940543448,0.3834481284158137,0.38571428571428573,0.38571428571428573,0.38571428571428573,0.6867697610676986,4.0792975425720215
24_mnist,E_caldm_d,CALDM-D (proposed),42,7603,100,0.09206892016309351,700,0.8478327228327228,0.3801851465547446,0.38,0.38,0.38,0.6861229375931803,4.820651531219482
24_mnist,F_caldm_j,CALDM-J (jointly cond.),42,7603,100,0.09206892016309351,700,0.872127025516856,0.40463423642809315,0.39571428571428574,0.39571428571428574,0.39571428571428574,0.30482855440754014,5.96272611618042
25_musk,C_latent_diff_uncond,Latent Diff (Uncond.),42,3062,166,0.03167864141084259,97,0.999993046017976,0.9997885220620291,0.9896907216494846,0.9896907216494846,0.9896907216494846,1.1095137564595583,1.7437822818756104
25_musk,E_caldm_d,CALDM-D (proposed),42,3062,166,0.03167864141084259,97,0.9999791380539281,0.9993654312791393,0.979381443298969,0.979381443298969,0.979381443298969,1.1077346049594698,2.2654247283935547
25_musk,F_caldm_j,CALDM-J (jointly cond.),42,3062,166,0.03167864141084259,97,0.8009978964204377,0.31450361079666705,0.30927835051546393,0.30927835051546393,0.30927835051546393,0.5752943726943881,2.6287875175476074
26_optdigits,C_latent_diff_uncond,Latent Diff (Uncond.),42,5216,64,0.028757668711656442,150,0.5017015396762732,0.026061031349905804,0.0,0.0,0.0,1.276677752519312,3.106123685836792
26_optdigits,E_caldm_d,CALDM-D (proposed),42,5216,64,0.028757668711656442,150,0.5217370706671931,0.027158021883085144,0.0,0.0,0.0,1.2794517066581115,3.946322202682495
26_optdigits,F_caldm_j,CALDM-J (jointly cond.),42,5216,64,0.028757668711656442,150,0.5333089880247401,0.02810421249648925,0.0,0.0,0.0,0.8117883119937831,4.664824724197388
27_PageBlocks,C_latent_diff_uncond,Latent Diff (Uncond.),42,5393,10,0.09456703133691823,510,0.8945838503330883,0.49430215394590543,0.45098039215686275,0.45098039215686275,0.45098039215686275,0.9326066992598081,3.389028310775757
27_PageBlocks,E_caldm_d,CALDM-D (proposed),42,5393,10,0.09456703133691823,510,0.8913304662434296,0.4850888563210478,0.44509803921568625,0.44509803921568625,0.44509803921568625,0.9589331202110909,3.952401638031006
27_PageBlocks,F_caldm_j,CALDM-J (jointly cond.),42,5393,10,0.09456703133691823,510,0.8843510699385221,0.5253195636597745,0.46862745098039216,0.46862745098039216,0.46862745098039216,0.3137606452054274,4.699053525924683
28_pendigits,C_latent_diff_uncond,Latent Diff (Uncond.),42,6870,16,0.022707423580786028,156,0.9230721492785835,0.20364157482506792,0.3141025641025641,0.3141025641025641,0.3141025641025641,1.2107356151639117,3.594210386276245
28_pendigits,E_caldm_d,CALDM-D (proposed),42,6870,16,0.022707423580786028,156,0.935112623450425,0.22043173527106838,0.3141025641025641,0.3141025641025641,0.3141025641025641,1.2017550680835176,4.388327121734619
28_pendigits,F_caldm_j,CALDM-J (jointly cond.),42,6870,16,0.022707423580786028,156,0.8589819970517022,0.11436978334895394,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.7243621343087943,5.459379196166992
30_satellite,C_latent_diff_uncond,Latent Diff (Uncond.),42,6435,36,0.3163947163947164,2036,0.6067762542924786,0.6124764088388015,0.4916502946954813,0.4916502946954813,0.4916502946954813,0.6912638606725039,3.488736867904663
30_satellite,E_caldm_d,CALDM-D (proposed),42,6435,36,0.3163947163947164,2036,0.5942565532173547,0.5896741271715643,0.4769155206286837,0.4769155206286837,0.4769155206286837,0.7066387318879389,4.337514638900757
30_satellite,F_caldm_j,CALDM-J (jointly cond.),42,6435,36,0.3163947163947164,2036,0.6549662340655202,0.5040005486763821,0.4395874263261297,0.4395874263261297,0.4395874263261297,0.11001875755994378,5.369913578033447
31_satimage-2,C_latent_diff_uncond,Latent Diff (Uncond.),42,5803,36,0.0122350508357746,71,0.977327678562653,0.8268057992177886,0.7887323943661971,0.7887323943661971,0.7887323943661971,1.6368977898013115,3.3147506713867188
31_satimage-2,E_caldm_d,CALDM-D (proposed),42,5803,36,0.0122350508357746,71,0.9766470420569474,0.8632798655458943,0.8028169014084506,0.8028169014084507,0.8028169014084507,1.578829529695052,4.06030011177063
31_satimage-2,F_caldm_j,CALDM-J (jointly cond.),42,5803,36,0.0122350508357746,71,0.9982775227779798,0.9408114099414886,0.8591549295774648,0.8591549295774648,0.8591549295774648,0.7995225792503882,5.0716774463653564
32_shuttle,C_latent_diff_uncond,Latent Diff (Uncond.),42,49097,9,0.0715114976475141,3511,0.990903341146064,0.9183931150447029,0.951011107946454,0.951011107946454,0.951011107946454,1.267276771666307,23.513579845428467
32_shuttle,E_caldm_d,CALDM-D (proposed),42,49097,9,0.0715114976475141,3511,0.9908733790922508,0.9182450329973945,0.9512959270863002,0.9512959270863002,0.9512959270863002,1.2297230681341231,29.235915660858154
32_shuttle,F_caldm_j,CALDM-J (jointly cond.),42,49097,9,0.0715114976475141,3511,0.9277825313585023,0.569860139692373,0.6200512674451724,0.6200512674451724,0.6200512674451724,0.0250887778067186,35.926369190216064
34_smtp,C_latent_diff_uncond,Latent Diff (Uncond.),42,95156,3,0.0003152717642607928,30,0.849974419892213,0.34062631677454797,0.6333333333333333,0.6333333333333333,0.6333333333333333,3.43422502982087,45.10231041908264
34_smtp,E_caldm_d,CALDM-D (proposed),42,95156,3,0.0003152717642607928,30,0.8560852623537905,0.34227459162888996,0.6333333333333333,0.6333333333333333,0.6333333333333333,3.418737573117322,56.968300342559814
34_smtp,F_caldm_j,CALDM-J (jointly cond.),42,95156,3,0.0003152717642607928,30,0.7872460385874173,0.36009249822077094,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.5200223296184123,70.4484212398529
35_SpamBase,C_latent_diff_uncond,Latent Diff (Uncond.),42,4207,57,0.39909674352270025,1679,0.5503683344516401,0.4096862357425109,0.43537820131030375,0.43537820131030375,0.43537820131030375,0.4336287778943232,2.9550673961639404
35_SpamBase,E_caldm_d,CALDM-D (proposed),42,4207,57,0.39909674352270025,1679,0.5499296503343613,0.40951929158219424,0.4371649791542585,0.4371649791542585,0.4371649791542585,0.4331077570753143,3.6242575645446777
35_SpamBase,F_caldm_j,CALDM-J (jointly cond.),42,4207,57,0.39909674352270025,1679,0.545096821495616,0.408228814798962,0.4258487194758785,0.4258487194758785,0.4258487194758785,0.3253413560783209,4.113342523574829
36_speech,C_latent_diff_uncond,Latent Diff (Uncond.),42,3686,400,0.016549104720564298,61,0.46898812888637653,0.018409583083303094,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.9294641249152673,1.9232959747314453
36_speech,E_caldm_d,CALDM-D (proposed),42,3686,400,0.016549104720564298,61,0.46955794234030535,0.01843349153399877,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.929675445955083,2.556981086730957
36_speech,F_caldm_j,CALDM-J (jointly cond.),42,3686,400,0.016549104720564298,61,0.4722713397399661,0.018788537622014552,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.896686509647773,3.3362388610839844
38_thyroid,C_latent_diff_uncond,Latent Diff (Uncond.),42,3772,6,0.024655355249204668,93,0.9526402394292512,0.3511613924619156,0.35483870967741943,0.3548387096774194,0.3548387096774194,1.7808628258624242,1.8885269165039062
38_thyroid,E_caldm_d,CALDM-D (proposed),42,3772,6,0.024655355249204668,93,0.9524561080471259,0.3378905362996321,0.35483870967741943,0.3548387096774194,0.3548387096774194,1.8109882054880089,2.398432731628418
38_thyroid,F_caldm_j,CALDM-J (jointly cond.),42,3772,6,0.024655355249204668,93,0.9606747976746837,0.4660133870501067,0.4838709677419355,0.4838709677419355,0.4838709677419355,1.065321993821499,3.0010669231414795
3_backdoor,C_latent_diff_uncond,Latent Diff (Uncond.),42,95329,196,0.02443118043827167,2329,0.8871015249518691,0.5062998892691786,0.46457707170459417,0.4645770717045942,0.4645770717045942,1.1898433786413471,49.28379034996033
3_backdoor,E_caldm_d,CALDM-D (proposed),42,95329,196,0.02443118043827167,2329,0.8868650304482518,0.506268466011799,0.46457707170459417,0.4645770717045942,0.4645770717045942,1.1907150864777447,60.271445512771606
3_backdoor,F_caldm_j,CALDM-J (jointly cond.),42,95329,196,0.02443118043827167,2329,0.9005728749705675,0.5028415924704244,0.5002146844139116,0.5002146844139116,0.5002146844139116,0.14518104122030592,75.66465330123901
40_vowels,C_latent_diff_uncond,Latent Diff (Uncond.),42,1456,12,0.034340659340659344,50,0.6261735419630157,0.07154717159566387,0.14,0.14,0.14,1.0401855880742545,1.311734676361084
40_vowels,E_caldm_d,CALDM-D (proposed),42,1456,12,0.034340659340659344,50,0.6158890469416785,0.0666324490611955,0.14,0.14,0.14,1.0355840389217652,1.574418544769287
40_vowels,F_caldm_j,CALDM-J (jointly cond.),42,1456,12,0.034340659340659344,50,0.698221906116643,0.08374463706024834,0.14,0.14,0.14,0.9188946245627099,1.7493529319763184
41_Waveform,C_latent_diff_uncond,Latent Diff (Uncond.),42,3443,21,0.02904443799012489,100,0.6537959916242896,0.047670310876751235,0.05000000000000001,0.05,0.05,1.1228092424474136,1.957054853439331
41_Waveform,E_caldm_d,CALDM-D (proposed),42,3443,21,0.02904443799012489,100,0.6546036494166916,0.04838456035875648,0.06,0.06,0.06,1.1535779583291403,2.5672080516815186
41_Waveform,F_caldm_j,CALDM-J (jointly cond.),42,3443,21,0.02904443799012489,100,0.5532216571941371,0.03718723557427542,0.06,0.06,0.06,0.6456084462435067,3.055853843688965
5_campaign,C_latent_diff_uncond,Latent Diff (Uncond.),42,41188,62,0.11265417111780131,4640,0.7340584288304847,0.2848883690291694,0.36810344827586206,0.36810344827586206,0.36810344827586206,0.9691083403632539,21.120383262634277
5_campaign,E_caldm_d,CALDM-D (proposed),42,41188,62,0.11265417111780131,4640,0.7341396546770804,0.2848563394293883,0.36831896551724136,0.36831896551724136,0.36831896551724136,0.9687015819725535,26.213329792022705
5_campaign,F_caldm_j,CALDM-J (jointly cond.),42,41188,62,0.11265417111780131,4640,0.7633068392817381,0.26781570710062597,0.2954741379310345,0.2954741379310345,0.2954741379310345,0.3475773755301431,31.879233598709106
6_cardio,C_latent_diff_uncond,Latent Diff (Uncond.),42,1831,21,0.0961223375204806,176,0.9490490249931336,0.6091986064510584,0.5965909090909091,0.5965909090909091,0.5965909090909091,1.069530013413588,1.4930596351623535
6_cardio,E_caldm_d,CALDM-D (proposed),42,1831,21,0.0961223375204806,176,0.9500892611919803,0.6124059589075317,0.6193181818181818,0.6193181818181818,0.6193181818181818,1.0578287990284643,1.8135669231414795
6_cardio,F_caldm_j,CALDM-J (jointly cond.),42,1831,21,0.0961223375204806,176,0.912675089261192,0.491894173699926,0.4943181818181818,0.4943181818181818,0.4943181818181818,0.7812854423996921,2.0297937393188477
7_Cardiotocography,C_latent_diff_uncond,Latent Diff (Uncond.),42,2114,21,0.22043519394512773,466,0.7498385349389558,0.4715535331308458,0.44635193133047213,0.44635193133047213,0.44635193133047213,0.7617423033646626,1.5101475715637207
7_Cardiotocography,E_caldm_d,CALDM-D (proposed),42,2114,21,0.22043519394512773,466,0.7552892828867869,0.47588872078796385,0.45064377682403434,0.45064377682403434,0.45064377682403434,0.7678642422383759,1.898665428161621
7_Cardiotocography,F_caldm_j,CALDM-J (jointly cond.),42,2114,21,0.22043519394512773,466,0.5864378463685987,0.3576973399091373,0.3605150214592274,0.3605150214592275,0.3605150214592275,0.5240344836560757,2.1322946548461914
8_celeba,C_latent_diff_uncond,Latent Diff (Uncond.),42,202599,39,0.022443348683853327,4547,0.7845691751759343,0.11207238340455503,0.1684442001099505,0.16842568161829374,0.16846272267429074,1.261324806105325,97.4435465335846
8_celeba,E_caldm_d,CALDM-D (proposed),42,202599,39,0.022443348683853327,4547,0.7844442321477076,0.11211903560117177,0.1691224983505608,0.1691224983505608,0.1691224983505608,1.2616619242963478,123.32247471809387
8_celeba,F_caldm_j,CALDM-J (jointly cond.),42,202599,39,0.022443348683853327,4547,0.658042324876805,0.03844586623770871,0.05432153067956895,0.05432153067956895,0.05432153067956895,0.4145539691266055,150.66810202598572
9_census,C_latent_diff_uncond,Latent Diff (Uncond.),42,299285,500,0.062041198189017155,18568,0.6613684734494518,0.08609760557433158,0.06656613528651444,0.06656613528651444,0.06656613528651444,1.4074356329262427,169.58207631111145
9_census,E_caldm_d,CALDM-D (proposed),42,299285,500,0.062041198189017155,18568,0.6611620163182585,0.08605148802992577,0.06645842309349419,0.06645842309349419,0.06645842309349419,1.407519242138446,206.3419737815857
9_census,F_caldm_j,CALDM-J (jointly cond.),42,299285,500,0.062041198189017155,18568,0.6514636172425993,0.08522011347421066,0.0708207669108143,0.0708207669108143,0.0708207669108143,0.8456896273071765,248.3411204814911
